"" "tlid" "prop_account_id" "prop_class" "code_area" "mrkt_land_val" "mrkt_bld_val" "mrkt_special_val" "mrkt_tot_val" "assessed_val" "legal_desc" "address" "lot_size" "taxes_2018" "taxes_2019"
53 "1N234AB81682" "R2098729" "1020" "001.12" 0 220750 0 220750 150740 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:168 21 " "1000 NE 63RD WAY. HILLSBORO OR, 97124" "" 2478.66 2589.42
54 "1N234AB81692" "R2098730" "1020" "001.12" 0 270200 0 270200 165860 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:169 (BLDG 21)  " "1000 NE 63RD WAY. HILLSBORO OR, 97124" "" 2727.31 2849.14
55 "1N234AB81702" "R2098731" "1020" "001.12" 0 330990 0 330990 207750 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:170  " "1000 NE 63RD WAY. HILLSBORO OR, 97124" "" 3416.15 3568.74
56 "1N234AB81711" "R2098732" "1020" "001.12" 0 327380 0 327380 203070 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:171  " "1010 NE HORIZON LOOP. HILLSBORO OR, 97124" "" 3339.22 3488.33
57 "1N234AB81721" "R2098733" "1020" "001.12" 0 204410 0 204410 136810 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:172 (BLDG 19)  " "1010 NE HORIZON LOOP. HILLSBORO OR, 97124" "" 2249.69 2350.13
58 "1N234AB81731" "R2098734" "1020" "001.12" 0 315080 0 315080 195530 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:173 (BLDG 19)  " "1010 NE HORIZON LOOP. HILLSBORO OR, 97124" "" 3215.25 3358.81
59 "1N234AB81742" "R2098735" "1020" "001.12" 0 315230 0 315230 195520 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:174 (BLDG 19)  " "1010 NE HORIZON LOOP. HILLSBORO OR, 97124" "" 3215.09 3358.63
60 "1N234AB81752" "R2098736" "1020" "001.12" 0 297260 0 297260 174140 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:175 (BLDG 19)  " "1010 NE HORIZON LOOP. HILLSBORO OR, 97124" "" 2863.5 2991.39
61 "1N234AB81762" "R2098737" "1020" "001.12" 0 223820 0 223820 151210 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:176 (BLDG 19)  " "1010 NE HORIZON LOOP. HILLSBORO OR, 97124" "" 2486.48 2597.51
62 "1N234AB81772" "R2098738" "1020" "001.12" 0 188820 0 188820 128320 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:177 19 " "1010 NE HORIZON LOOP. HILLSBORO OR, 97124" "" 2110.13 2204.28
63 "1N234AB81782" "R2098739" "1020" "001.12" 0 223820 0 223820 151210 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:178 (BLDG 19)  " "1010 NE HORIZON LOOP. HILLSBORO OR, 97124" "" 2486.48 2597.51
64 "1N234AB81792" "R2098740" "1020" "001.12" 0 270200 0 270200 165860 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:179 19 " "1010 NE HORIZON LOOP. HILLSBORO OR, 97124" "" 2727.31 2849.14
65 "1N234AB81802" "R2098741" "1020" "001.12" 0 337180 0 337180 211180 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:180 (BLDG 19)  " "1010 NE HORIZON LOOP. HILLSBORO OR, 97124" "" 3472.54 3627.67
66 "1N234AB90000" "R2091066" "0000" "001.12" 0 0 0 0 0 "EAST VILLAGE AT ORENCO STATION, A CONDO Lot:  " "   . HILLSBORO OR, 97124" "" 0.0 0.0
67 "1N234AB90711" "R2091067" "1020" "001.12" 0 327380 0 327380 192900 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:71 6 " "1281 NE 64TH LN. HILLSBORO OR, 97124" "" 3172.09 3313.65
68 "1N234AB90721" "R2091068" "1020" "001.12" 0 204410 0 204410 138230 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:72 6 " "1281 NE 64TH LN. HILLSBORO OR, 97124" "" 2273.04 2374.52
69 "1N234AB90731" "R2091069" "1020" "001.12" 0 329200 0 329200 185430 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:73 6 " "1281 NE 64TH LN. HILLSBORO OR, 97124" "" 3049.11 3185.32
70 "1N234AB90742" "R2091070" "1020" "001.12" 0 309390 0 309390 180780 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:74 6 " "1281 NE 64TH LN. HILLSBORO OR, 97124" "" 2972.72 3105.43
71 "1N234AB90752" "R2091071" "1020" "001.12" 0 281430 0 281430 164230 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:75 6 " "1281 NE 64TH LN. HILLSBORO OR, 97124" "" 2700.56 2821.14
72 "1N234AB90762" "R2091072" "1020" "001.12" 0 220750 0 220750 151120 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:76  " "1281 NE 64TH LN. HILLSBORO OR, 97124" "" 2484.96 2595.95
73 "1N234AB90772" "R2091073" "1020" "001.12" 0 188820 0 188820 128320 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:77 6 " "1281 NE 64TH LN. HILLSBORO OR, 97124" "" 2110.13 2204.28
74 "1N234AB90782" "R2091074" "1020" "001.12" 0 223820 0 223820 129100 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:78 6 " "1281 NE 64TH LN. HILLSBORO OR, 97124" "" 2122.82 2217.66
75 "1N234AB90792" "R2091075" "1020" "001.12" 0 270200 0 270200 157990 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:79  " "1281 NE 64TH LN. HILLSBORO OR, 97124" "" 2597.91 2713.95
76 "1N234AB90802" "R2091076" "1020" "001.12" 0 330990 0 330990 192850 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:80  " "1281 NE 64TH LN. HILLSBORO OR, 97124" "" 3171.23 3312.78
